id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
giggle-fund,giggle,Giggle Fund,https://coin-images.coingecko.com/coins/images/69414/large/giggle-fund.jpg?1758541887,39.12,39029169,580,39029169,55150512,40.58,31.09,7.51,23.76942,7424125.0,23.49032,1000000.0,1000000.0,1000000.0,274.54,-85.26778,2025-10-25T04:05:48.420Z,8.64,368.00442,2025-09-25T16:01:24.440Z,,2026-05-04T13:10:12.504Z,79.52457339673539,17.684738558421323,breakout,False,low,False,0.10157,,23.66785,,True,False,False,1.4130588329974436,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),50m_range,1.6,0,0.96,1,0,0,0,20260504,0,0,False,False,NOT_APPLICABLE,False
mubarak,mubarak,Mubarak,https://coin-images.coingecko.com/coins/images/54857/large/DKjv3dc6_400x400.jpg?1742107486,0.01665983,16630672,986,16630672,27291434,0.01694764,0.01435589,0.00184462,12.45084,1822384.0,12.30651,1000000000.0,1000000000.0,1000000000.0,0.211228,-92.11908,2025-03-18T05:06:59.770Z,0.01000671,66.35569,2025-10-10T21:27:11.195Z,,2026-05-04T13:12:32.246Z,50.1958491215533,24.59678428121653,breakout,False,low,False,0.17093,,12.27991,,True,False,False,1.6410301399726963,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10m_range,1.6,0,0.96,1,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,False
unipeg,upeg,Unipeg,https://coin-images.coingecko.com/coins/images/102173012/large/unipeg.jpg?1777188215,1820.18,18103079,943,18103079,23208958,2391.9,1032.38,539.67,42.14527,5815441.0,47.32757,10000.0,10000.0,10000.0,2933.89,-38.40373,2026-05-02T10:50:06.084Z,435.23,315.22527,2026-04-26T17:34:58.726Z,,2026-05-04T13:12:43.393Z,,77.98364729931845,breakout,False,low,False,0.17093,,41.97434,,True,False,False,1.2820447836525488,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",RWA,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),10m_range,1.6,0,0.96,2,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
renzo,rez,Renzo,https://coin-images.coingecko.com/coins/images/37327/large/renzo_200x200.png?1714025012,0.00545683,46117396,508,53567197,35506397,0.00573605,0.00504826,0.00016264,3.07195,1308258.0,2.91962,8449670066.351069,9814629224.12962,10000000000.0,0.278213,-98.03159,2024-04-30T11:50:54.665Z,0.00265163,106.52854,2026-02-28T10:11:14.983Z,,2026-05-04T13:10:30.320Z,56.26798087688037,37.30785434470613,strong,False,low,False,0.10157,,2.97038,,True,False,False,0.7699133099362332,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",DeFi,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range,1.1,0,0.66,2,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
czs-dog,broccoli,CZ's Dog,https://coin-images.coingecko.com/coins/images/54400/large/broccoli.jpg?1739504145,0.01922729,18597478,929,18597478,17278634,0.01950269,0.01799651,0.00050814,2.71456,493272.0,2.72463,968133628.7294303,968133628.7294303,1000000000.0,0.257985,-92.5003,2025-02-14T10:31:04.883Z,0.0105676,83.08855,2025-10-10T21:25:13.973Z,,2026-05-04T13:12:31.404Z,61.246737430642106,21.26903536484171,strong,False,low,False,0.17093,,2.5436300000000003,,True,False,False,0.9290847931101196,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),10m_range,1.1,0,0.66,3,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
neiro-3,neiro,Neiro,https://coin-images.coingecko.com/coins/images/39488/large/neiro.jpg?1731449567,9.232e-05,38676119,583,38676119,31133360,9.873e-05,9.07e-05,-1.775791684691e-06,-1.88712,-871148.7839172184,-2.2028,420690000000.0,420690000000.0,420690000000.0,0.00301761,-96.93787,2024-11-12T08:05:49.038Z,2.44e-06,3689.47077,2024-08-01T07:00:23.692Z,,2026-05-04T13:10:27.990Z,68.57729751001614,6.649792232677506,strong,False,low,False,0.10157,,-1.9886899999999998,,True,False,False,0.8049763214349402,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range,1.0,0,0.6,3,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
troll-2,troll,TROLL,https://coin-images.coingecko.com/coins/images/55282/large/Untitled_design.png?1777015928,0.04633543,46318758,505,46318758,31150018,0.056021,0.03365101,0.01268442,37.69402,12708661.0,37.81204,998881490.328646,998881490.328646,1000000000.0,0.282604,-83.62844,2025-08-22T21:48:29.985Z,0.00387003,1095.51034,2025-04-22T03:50:51.686Z,,2026-05-04T13:10:29.275Z,296.52465830093774,130.1458618075794,strong,False,low,False,0.10157,,37.59245,,True,False,False,0.6725141032494869,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range,0.6,0,0.36,4,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,False
4-2,4,4,https://coin-images.coingecko.com/coins/images/69728/large/4-logo.jpg?1759403604,0.01500039,14888770,1026,14888770,9280010,0.01586486,0.01053667,0.00429067,40.06327,4070358.0,37.62436,1000000000.0,1000000000.0,1000000000.0,0.292094,-94.87758,2025-10-08T12:36:35.119Z,0.00640002,133.78474,2026-03-19T12:30:29.701Z,,2026-05-04T13:12:37.952Z,27.221480683864336,40.178687831789915,strong,False,low,False,0.17093,,39.892340000000004,,True,False,False,0.6232892307423649,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),10m_range,0.6,0,0.36,4,0,0,0,20260504,0,0,False,False,NOT_APPLICABLE,False
vine,vine,Vine,https://coin-images.coingecko.com/coins/images/53859/large/vine.jpg?1737613523,0.01535047,15345324,1014,15345324,9387240,0.01566077,0.01512251,1.711e-05,0.11162,-7087.736755700782,-0.04617,999970073.555185,999970073.555185,1000000000.0,0.469941,-96.73424,2025-01-26T10:00:27.525Z,0.01447873,5.99786,2026-04-28T10:55:44.220Z,,2026-05-04T13:12:23.776Z,-16.512739607318103,-8.155659798307754,strong,False,low,False,0.17093,,-0.05931,,True,False,False,0.6117329291971939,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),10m_range,0.5,0,0.3,5,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
merlin-chain,merl,Merlin Chain,https://coin-images.coingecko.com/coins/images/37118/large/merlin.jpeg?1713352230,0.03939213,48708341,493,82713545,19393781,0.04151503,0.03498317,0.0031192,8.59924,3945631.0,8.81455,1236647716.0,2100000000.0,2100000000.0,1.45,-97.29887,2024-04-19T11:41:13.943Z,0.02130297,83.85585,2026-04-03T19:50:42.218Z,,2026-05-04T13:10:27.495Z,70.79817503908721,-1.2854281153757994,early_accumulation,False,low,False,0.10157,,8.49767,,True,False,False,0.3981613949857171,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range,0.1,0,0.06,5,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,False
